Group,Item,Part Type,Variant,Filament Color,Filament Type,Filament Brand,Qty
Pokeball Original Collection,Pokeball,Upper Shell,A,Scarlet Red,PLA Matte,Bambu,1
Pokeball Original Collection,Pokeball,Locator Disk,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Pokeball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Pokeball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Pokeball,Central Button,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Pokeball,Lower Shell,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Upper Shell,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Locator Disk,A,Scarlet Red,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Central Button,A,Scarlet Red,PLA Matte,Bambu,1
Pokeball Original Collection,Premier Ball,Lower Shell,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Decorator,A,Scarlet Red,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Decorator,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Upper Shell,B,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Decorator,C,Scarlet Red,PLA Matte,Bambu,2
Pokeball Original Collection,Timer Ball,Locator Disk,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Central Button,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Lower Shell,B,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Timer Ball,Decorator,D,Scarlet Red,PLA Matte,Bambu,2
Pokeball Original Collection,Net Ball,Upper Shell,C,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Decorator,E,Ice Marine Blue,PLA Matte,Bambu,4
Pokeball Original Collection,Net Ball,Decorator,F,Ice Marine Blue,PLA Matte,Bambu,4
Pokeball Original Collection,Net Ball,Decorator,G,Ice Marine Blue,PLA Matte,Bambu,2
Pokeball Original Collection,Net Ball,Decorator,H,Ice Marine Blue,PLA Matte,Bambu,2
Pokeball Original Collection,Net Ball,Decorator,I,Ice Marine Blue,PLA Matte,Bambu,2
Pokeball Original Collection,Net Ball,Decorator,J,Ice Marine Blue,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Decorator,K,Ice Marine Blue,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Locator Disk,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Central Button,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Net Ball,Lower Shell,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Upper Shell,A,Lemon Yellow,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Locator Disk,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Central Button,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,GS Ball,Lower Shell,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Decorator,L,Lemon Yellow,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Upper Shell ,D,Marine Blue,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Upper Shell ,E,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Locator Disk,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Weighted Cube,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Central Ring,A,Charcoal,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Central Button,A,Ivory White,PLA Matte,Bambu,1
Pokeball Original Collection,Moon Ball,Lower Shell ,A,Ivory White,PLA Matte,Bambu,1
