Part Type,Variant ,Color,Qty,Ball,,,,,,,,,,,,,,
Top,A,Red,1,Pokeball,,,,,,,,,,,,,,
Disk,A,Black,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,White,1,,,,,,,,,,,,,,,
Bottom,A,White,1,,,,,,,,,,,,,,,
Top,A,White,1,Premier Ball,,,,,,,,,,,,,,
Disk,A,Red,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,Red,1,,,,,,,,,,,,,,,
Bottom,A,White,1,,,,,,,,,,,,,,,
Decorator,A,Red,1,Timer Ball,,,,,,,,,,,,,,
Decorator,A,Black,1,,,,,,,,,,,,,,,
Top,B,White,1,,,,,,,,,,,,,,,
Decorator,C,Red,2,,,,,,,,,,,,,,,
Disk,A,Black,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,Black,1,,,,,,,,,,,,,,,
Bottom,B,White,1,,,,,,,,,,,,,,,
Decorator,D,Red,2,,,,,,,,,,,,,,,
Top,C,Black,1,Net Ball,,,,,,,,,,,,,,
Decorator,E,Teal,4,,,,,,,,,,,,,,,
Decorator,F,Teal,4,,,,,,,,,,,,,,,
Decorator,G,Teal,2,,,,,,,Current Highest,,,,,,,,
Decorator,H,Teal,2,,,,,,Top,F,,,,,,,,
Decorator,I,Teal,2,,,,,,Ring,A,,,,,,,,
Decorator,J,Teal,1,,,,,,Disk,A,,,,,,,,
Decorator,K,Teal,1,,,,,,Cube,A,,,,,,,,
Disk,A,Black,1,,,,,,Ring,A,,,,,Disk,A,Black,1
Cube,A,Black,1,,,,,,Button,A,,,,,Cube,A,Black,1
Ring,A,Black,1,,,,,,Bottom,B,,,,,Ring,A,Black,1
Button,A,White,1,,,,,,Decorator,L,,,,,Button,A,White,1
Bottom,A,White,1,,,,,,,,,,,,Bottom,A,White,1
Top,A,Yellow,1,GS Ball,,,,,,,,,,,,,,
Disk,A,Black,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,White,1,,,,,,,,,,,,,,,
Bottom,A,White,1,,,,,,,,,,,,,,,
Decorator,L,Yellow,1,Moon Ball,,,,,,,,,,,,,,
Top ,D,Blue,1,,,,,,,,,,,,,,,
Top ,E,Black,1,,,,,,,,,,,,,,,
Disk,A,Black,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,White,1,,,,,,,,,,,,,,,
Bottom ,A,White,1,,,,,,,,,,,,,,,
Top ,F,Red,1,Love Ball,,,,,,,,,,,,,,
Decorator,M,White,1,,,,,,,,,,,,,,,
Decorator,N,Pink,1,,,,,,,,,,,,,,,
Decorator,O,White,1,,,,,,,,,,,,,,,
Disk,A,Black,1,,,,,,,,,,,,,,,
Cube,A,Black,1,,,,,,,,,,,,,,,
Ring,A,Black,1,,,,,,,,,,,,,,,
Button,A,White,1,,,,,,,,,,,,,,,
Bottom,A,White,1,,,,,,,,,,,,,,,
