Run No.,shop_order,Feature,Actual,Tol-,Tol+,Deviation,Tendency,Run Date,Run Time
991,EGR1524590_1,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,15:55:36
991,EGR1524590_1,BASE,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,15:55:36
991,EGR1524590_1,MID,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,15:55:36
991,EGR1524590_1,TIP,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,15:55:36
992,EGR1524590_2,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,15:56:50
992,EGR1524590_2,BASE,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,15:56:50
992,EGR1524590_2,MID,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,15:56:50
992,EGR1524590_2,TIP,0.0062,0.0015,0.0015,0.0017,1.133,6/11/2024,15:56:50
993,EGR1524590_3,REAR,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,15:58:19
993,EGR1524590_3,BASE,0.0045,0.0015,0.0015,0,0,6/11/2024,15:58:19
993,EGR1524590_3,MID,0.004,0.0015,0.0015,-0.0005,-0.333,6/11/2024,15:58:19
993,EGR1524590_3,TIP,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,15:58:19
994,EGR1524590_4,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:12:45
994,EGR1524590_4,BASE,0.005,0.0015,0.0015,0.0005,0.333,6/11/2024,16:12:45
994,EGR1524590_4,MID,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:12:45
994,EGR1524590_4,TIP,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:12:45
995,EGR1524590_5,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:13:49
995,EGR1524590_5,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:13:49
995,EGR1524590_5,MID,0.0057,0.0015,0.0015,0.0012,0.8,6/11/2024,16:13:49
995,EGR1524590_5,TIP,0.0064,0.0015,0.0015,0.0019,1.267,6/11/2024,16:13:49
996,EGR1524590_6,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:14:49
996,EGR1524590_6,BASE,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:14:49
996,EGR1524590_6,MID,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:14:49
996,EGR1524590_6,TIP,0.0042,0.0015,0.0015,-0.0003,-0.2,6/11/2024,16:14:49
997,EGR1524590_7,REAR,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:17:06
997,EGR1524590_7,BASE,0.0046,0.0015,0.0015,0.0001,0.067,6/11/2024,16:17:06
997,EGR1524590_7,MID,0.0043,0.0015,0.0015,-0.0002,-0.133,6/11/2024,16:17:06
997,EGR1524590_7,TIP,0.0036,0.0015,0.0015,-0.0009,-0.6,6/11/2024,16:17:06
998,EGR1524590_8,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:18:07
998,EGR1524590_8,BASE,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:18:07
998,EGR1524590_8,MID,0.0041,0.0015,0.0015,-0.0004,-0.267,6/11/2024,16:18:07
998,EGR1524590_8,TIP,0.0039,0.0015,0.0015,-0.0006,-0.4,6/11/2024,16:18:07
999,EGR1524590_9,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:19:01
