Run No.,shop_order,Feature,Actual,Tol-,Tol+,Deviation,Tendency,Run Date,Run Time
518,EGR1524590_1,REAR,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:02:07
518,EGR1524590_1,BASE,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:02:07
518,EGR1524590_1,MID,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:02:07
518,EGR1524590_1,TIP,0.0039,0.0015,0.0015,-0.0006,-0.4,6/11/2024,16:02:07
519,EGR1524590_2,REAR,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:03:52
519,EGR1524590_2,BASE,0.005,0.0015,0.0015,0.0005,0.333,6/11/2024,16:03:52
519,EGR1524590_2,MID,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:03:52
519,EGR1524590_2,TIP,0.004,0.0015,0.0015,-0.0005,-0.333,6/11/2024,16:03:52
520,EGR1524590_3,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:05:03
520,EGR1524590_3,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:05:03
520,EGR1524590_3,MID,0.0047,0.0015,0.0015,0.0002,0.133,6/11/2024,16:05:03
520,EGR1524590_3,TIP,0.0033,0.0015,0.0015,-0.0012,-0.8,6/11/2024,16:05:03
521,EGR1524590_4,REAR,0.0058,0.0015,0.0015,0.0013,0.867,6/11/2024,16:08:15
521,EGR1524590_4,BASE,0.0057,0.0015,0.0015,0.0012,0.8,6/11/2024,16:08:15
521,EGR1524590_4,MID,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:08:15
521,EGR1524590_4,TIP,0.0037,0.0015,0.0015,-0.0008,-0.533,6/11/2024,16:08:15
522,EGR1524590_5,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:09:25
522,EGR1524590_5,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:09:25
522,EGR1524590_5,MID,0.0046,0.0015,0.0015,0.0001,0.067,6/11/2024,16:09:25
522,EGR1524590_5,TIP,0.004,0.0015,0.0015,-0.0005,-0.333,6/11/2024,16:09:25
523,EGR1524590_6,REAR,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:10:14
523,EGR1524590_6,BASE,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:10:14
523,EGR1524590_6,MID,0.0047,0.0015,0.0015,0.0002,0.133,6/11/2024,16:10:14
523,EGR1524590_6,TIP,0.0032,0.0015,0.0015,-0.0013,-0.867,6/11/2024,16:10:14
524,EGR1524590_7,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:21:09
524,EGR1524590_7,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:21:09
524,EGR1524590_7,MID,0.0046,0.0015,0.0015,0.0001,0.067,6/11/2024,16:21:09
524,EGR1524590_7,TIP,0.003,0.0015,0.0015,-0.0015,-1,6/11/2024,16:21:09
525,EGR1524590_8,REAR,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:22:08
525,EGR1524590_8,BASE,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:22:08
525,EGR1524590_8,MID,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:22:08
525,EGR1524590_8,TIP,0.0029,0.0015,0.0015,-0.0016,-1.067,6/11/2024,16:22:08
526,EGR1524590_9,REAR,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:22:59
526,EGR1524590_9,BASE,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:22:59
526,EGR1524590_9,MID,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:22:59
526,EGR1524590_9,TIP,0.0032,0.0015,0.0015,-0.0013,-0.867,6/11/2024,16:22:59
527,EGR1524590_10,REAR,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:25:00
527,EGR1524590_10,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:25:00
527,EGR1524590_10,MID,0.0042,0.0015,0.0015,-0.0003,-0.2,6/11/2024,16:25:00
527,EGR1524590_10,TIP,0.0035,0.0015,0.0015,-0.001,-0.667,6/11/2024,16:25:00
528,EGR1524590_11,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:25:50
528,EGR1524590_11,BASE,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:25:50
528,EGR1524590_11,MID,0.0045,0.0015,0.0015,0,0,6/11/2024,16:25:50
528,EGR1524590_11,TIP,0.0032,0.0015,0.0015,-0.0013,-0.867,6/11/2024,16:25:50
529,EGR1524590_12,REAR,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:26:35
529,EGR1524590_12,BASE,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:26:35
529,EGR1524590_12,MID,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:26:35
529,EGR1524590_12,TIP,0.0041,0.0015,0.0015,-0.0004,-0.267,6/11/2024,16:26:35
530,EGR1524590_13,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:36:34
530,EGR1524590_13,BASE,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:36:34
530,EGR1524590_13,MID,0.0046,0.0015,0.0015,0.0001,0.067,6/11/2024,16:36:34
530,EGR1524590_13,TIP,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:36:34
531,EGR1524590_14,REAR,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:37:22
531,EGR1524590_14,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:37:22
531,EGR1524590_14,MID,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:37:22
531,EGR1524590_14,TIP,0.0038,0.0015,0.0015,-0.0007,-0.467,6/11/2024,16:37:22
532,EGR1524590_15,REAR,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:38:07
532,EGR1524590_15,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:38:07
532,EGR1524590_15,MID,0.0043,0.0015,0.0015,-0.0002,-0.133,6/11/2024,16:38:07
532,EGR1524590_15,TIP,0.0036,0.0015,0.0015,-0.0009,-0.6,6/11/2024,16:38:07
533,EGR1524590_16,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:40:02
533,EGR1524590_16,BASE,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:40:02
533,EGR1524590_16,MID,0.0043,0.0015,0.0015,-0.0002,-0.133,6/11/2024,16:40:02
533,EGR1524590_16,TIP,0.0041,0.0015,0.0015,-0.0004,-0.267,6/11/2024,16:40:02
534,EGR1524590_17,REAR,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:40:50
534,EGR1524590_17,BASE,0.0052,0.0015,0.0015,0.0007,0.467,6/11/2024,16:40:50
534,EGR1524590_17,MID,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:40:50
534,EGR1524590_17,TIP,0.0034,0.0015,0.0015,-0.0011,-0.733,6/11/2024,16:40:50
535,EGR1524590_18,REAR,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:41:56
535,EGR1524590_18,BASE,0.0053,0.0015,0.0015,0.0008,0.533,6/11/2024,16:41:56
535,EGR1524590_18,MID,0.0047,0.0015,0.0015,0.0002,0.133,6/11/2024,16:41:56
535,EGR1524590_18,TIP,0.0036,0.0015,0.0015,-0.0009,-0.6,6/11/2024,16:41:56
