,Rear,Base,Mid,Tip
1,0.0055,0.0053,0.0049,0.0039
2,0.0051,0.005,0.0044,0.004
3,0.0053,0.0052,0.0047,0.0033
4,0.0058,0.0057,0.0051,0.0037
5,0.0053,0.0052,0.0046,0.004
6,0.0054,0.0053,0.0047,0.0032
7,0.0053,0.0052,0.0046,0.003
8,0.0055,0.0054,0.0044,0.0029
9,0.0055,0.0054,0.0048,0.0032
10,0.0055,0.0052,0.0042,0.0035
11,0.0052,0.0051,0.0045,0.0032
12,0.0054,0.0054,0.0048,0.0041
13,0.0049,0.0049,0.0046,0.0049
14,0.0053,0.0052,0.0049,0.0038
15,0.0054,0.0052,0.0043,0.0036
16,0.0049,0.0048,0.0043,0.0041
17,0.0052,0.0052,0.0044,0.0034
18,0.0055,0.0053,0.0047,0.0036
