,Rear,Base,Mid,Tip
1,0.0053,0.0054,0.0054,0.0047
2,0.0052,0.005,0.0058,0.0051
3,0.0057,0.0056,0.0069,0.0072
4,0.0056,0.0055,0.005,0.0056
5,0.0052,0.0049,0.0051,0.0052
6,0.0054,0.0053,0.0052,0.0062
7,0.0052,0.0051,0.005,0.0058
8,0.0055,0.0055,0.0059,0.006
9,0.0053,0.0052,0.0057,0.0061
10,0.0055,0.0055,0.0061,0.0063
11,0.0054,0.0053,0.006,0.0067
12,0.0055,0.0054,0.0061,0.0063
13,0.0055,0.0054,0.0062,0.0071
14,0.0053,0.0051,0.0058,0.0068
15,0.0056,0.0056,0.0063,0.0076
16,0.0052,0.005,0.0058,0.0064
17,0.0053,0.0053,0.0055,0.0053
18,0.0053,0.005,0.0059,0.0058
19,0.0055,0.0055,0.0062,0.0072
20,0.0051,0.0049,0.0055,0.0052
21,0.0053,0.0052,0.0057,0.007
22,0.0053,0.0051,0.0056,0.0067
23,0.0058,0.006,0.008,0.0092
24,0.0053,0.0052,0.0065,0.0072
25,0.0081,0.0076,0.0057,0.006
26,0.0051,0.0049,0.0052,0.0066
27,0.0054,0.0054,0.0057,0.0062
28,0.0052,0.0051,0.0058,0.0049
29,0.0051,0.0048,0.0052,0.0062
30,0.0055,0.0054,0.0061,0.0062
31,0.0055,0.0054,0.0061,0.0062
32,0.0051,0.0048,0.0053,0.006
33,0.0076,0.0071,0.0052,0.0057
34,0.0054,0.0053,0.0063,0.0078
35,0.0053,0.0051,0.0061,0.0071
36,0.0071,0.007,0.007,0.0005
37,0.0054,0.0054,0.0051,0.0046
38,0.0054,0.0054,0.0062,0.007
39,0.0055,0.0057,0.0064,0.0068
40,0.0053,0.0053,0.0061,0.0067
41,0.0053,0.0051,0.0058,0.0064
42,0.0053,0.0052,0.0058,0.0057
43,0.0055,0.0055,0.0056,0.0051
44,0.0052,0.005,0.0056,0.006
45,0.0052,0.0051,0.0059,0.0055
46,0.0053,0.0051,0.0058,0.0064
47,0.0056,0.0054,0.0054,0.0056
48,0.0052,0.0051,0.0057,0.0063
49,0.0051,0.005,0.0058,0.0069
50,0.0055,0.0054,0.0061,0.0064
51,0.0051,0.0052,0.006,0.0068
52,0.0052,0.005,0.0057,0.007
53,0.0073,0.0069,0.0058,0.006
54,0.0088,0.0084,0.0076,0.0062
55,0.0056,0.0055,0.0059,0.0054
56,0.007,0.0068,0.006,0.0063
57,0.0065,0.0064,0.0071,0.0086
58,0.0052,0.005,0.0062,0.0061
59,0.008,0.0074,0.0057,0.0058
60,0.0056,0.0054,0.0061,0.0071
61,0.0056,0.0056,0.0063,0.0063
62,0.0054,0.0053,0.0057,0.0069
63,0.0055,0.0054,0.0054,0.0059
64,0.0053,0.005,0.0054,0.0058
65,0.0054,0.0052,0.0055,0.0065
66,0.0054,0.0051,0.0055,0.0063
67,0.0067,0.0065,0.0054,0.0054
68,0.0066,0.0067,0.0067,0.0061
69,0.0051,0.0049,0.0054,0.0069
70,0.0075,0.0071,0.006,0.0063
71,0.0079,0.0078,0.0047,0.0056
72,0.0052,0.0049,0.0052,0.0051
73,0.0064,0.0063,0.0052,0.0051
74,0.0065,0.0066,0.0065,0.0059
75,0.0048,0.0045,0.0054,0.0051
76,0.0054,0.0053,0.006,0.0059
77,0.0052,0.0052,0.0061,0.0069
78,0.0079,0.0072,0.0056,0.0058
79,0.0056,0.0054,0.0061,0.007
80,0.0053,0.0053,0.006,0.0063
81,0.0058,0.0057,0.006,0.0074
82,0.0058,0.0057,0.0065,0.0077
83,0.0052,0.005,0.0054,0.0048
84,0.0055,0.0054,0.0064,0.0066
85,0.0063,0.0063,0.0068,0.0073
86,0.0053,0.0052,0.0055,0.0062
87,0.0054,0.0053,0.0057,0.0059
88,0.0052,0.0052,0.0062,0.0057
89,0.0053,0.0054,0.0055,0.005
90,0.0057,0.0058,0.0062,0.0069
91,0.0053,0.0052,0.0059,0.007
92,0.0057,0.0057,0.0065,0.0072
93,0.0057,0.0059,0.0075,0.0081
94,0.0056,0.0056,0.0052,0.0053
95,0.0091,0.0087,0.0064,0.0062
96,0.0061,0.006,0.0064,0.0069
97,0.0079,0.0075,0.006,0.0055
98,0.0055,0.0053,0.0057,0.0051
99,0.006,0.0058,0.0061,0.0067
100,0.0058,0.0058,0.0063,0.007
101,0.0053,0.0052,0.0057,0.0061
102,0.0053,0.0052,0.0053,0.0062
103,0.0056,0.0057,0.0067,0.0084
104,0.0033,0.0021,0.0082,0.1131
105,0.0054,0.0055,0.0058,0.0065
106,0.0051,0.005,0.0053,0.0067
107,0.0065,0.0066,0.0067,0.0068
108,0.006,0.006,0.0071,0.0083
109,0.0062,0.0062,0.0065,0.0073
110,0.0052,0.0048,0.0058,0.0071
111,0.0058,0.0057,0.0064,0.0075
112,0.0062,0.0064,0.0048,0.0056
113,0.0059,0.0059,0.0063,0.0067
114,0.0053,0.0053,0.0058,0.0069
115,0.0058,0.0058,0.006,0.0063
116,0.0055,0.0054,0.0057,0.0063
117,0.0062,0.0062,0.0061,0.0064
118,0.0054,0.0053,0.0063,0.0072
