,Rear,Base,Mid,Tip
3,0.0057,0.0056,0.0069,0.0072
6,0.0054,0.0053,0.0052,0.0062
9,0.0053,0.0052,0.0057,0.0061
10,0.0055,0.0055,0.0061,0.0063
11,0.0054,0.0053,0.006,0.0067
12,0.0055,0.0054,0.0061,0.0063
13,0.0055,0.0054,0.0062,0.0071
14,0.0053,0.0051,0.0058,0.0068
15,0.0056,0.0056,0.0063,0.0076
16,0.0052,0.005,0.0058,0.0064
19,0.0055,0.0055,0.0062,0.0072
21,0.0053,0.0052,0.0057,0.007
22,0.0053,0.0051,0.0056,0.0067
23,0.0058,0.006,0.008,0.0092
24,0.0053,0.0052,0.0065,0.0072
25,0.0081,0.0076,0.0057,0.006
26,0.0051,0.0049,0.0052,0.0066
27,0.0054,0.0054,0.0057,0.0062
29,0.0051,0.0048,0.0052,0.0062
30,0.0055,0.0054,0.0061,0.0062
31,0.0055,0.0054,0.0061,0.0062
33,0.0076,0.0071,0.0052,0.0057
34,0.0054,0.0053,0.0063,0.0078
35,0.0053,0.0051,0.0061,0.0071
36,0.0071,0.007,0.007,0.0005
38,0.0054,0.0054,0.0062,0.007
39,0.0055,0.0057,0.0064,0.0068
40,0.0053,0.0053,0.0061,0.0067
41,0.0053,0.0051,0.0058,0.0064
46,0.0053,0.0051,0.0058,0.0064
48,0.0052,0.0051,0.0057,0.0063
49,0.0051,0.005,0.0058,0.0069
50,0.0055,0.0054,0.0061,0.0064
51,0.0051,0.0052,0.006,0.0068
52,0.0052,0.005,0.0057,0.007
53,0.0073,0.0069,0.0058,0.006
54,0.0088,0.0084,0.0076,0.0062
56,0.007,0.0068,0.006,0.0063
57,0.0065,0.0064,0.0071,0.0086
58,0.0052,0.005,0.0062,0.0061
59,0.008,0.0074,0.0057,0.0058
60,0.0056,0.0054,0.0061,0.0071
61,0.0056,0.0056,0.0063,0.0063
62,0.0054,0.0053,0.0057,0.0069
65,0.0054,0.0052,0.0055,0.0065
66,0.0054,0.0051,0.0055,0.0063
67,0.0067,0.0065,0.0054,0.0054
68,0.0066,0.0067,0.0067,0.0061
69,0.0051,0.0049,0.0054,0.0069
70,0.0075,0.0071,0.006,0.0063
71,0.0079,0.0078,0.0047,0.0056
73,0.0064,0.0063,0.0052,0.0051
74,0.0065,0.0066,0.0065,0.0059
77,0.0052,0.0052,0.0061,0.0069
78,0.0079,0.0072,0.0056,0.0058
79,0.0056,0.0054,0.0061,0.007
80,0.0053,0.0053,0.006,0.0063
81,0.0058,0.0057,0.006,0.0074
82,0.0058,0.0057,0.0065,0.0077
84,0.0055,0.0054,0.0064,0.0066
85,0.0063,0.0063,0.0068,0.0073
86,0.0053,0.0052,0.0055,0.0062
88,0.0052,0.0052,0.0062,0.0057
90,0.0057,0.0058,0.0062,0.0069
91,0.0053,0.0052,0.0059,0.007
92,0.0057,0.0057,0.0065,0.0072
93,0.0057,0.0059,0.0075,0.0081
95,0.0091,0.0087,0.0064,0.0062
96,0.0061,0.006,0.0064,0.0069
97,0.0079,0.0075,0.006,0.0055
99,0.006,0.0058,0.0061,0.0067
100,0.0058,0.0058,0.0063,0.007
101,0.0053,0.0052,0.0057,0.0061
102,0.0053,0.0052,0.0053,0.0062
103,0.0056,0.0057,0.0067,0.0084
104,0.0033,0.0021,0.0082,0.1131
105,0.0054,0.0055,0.0058,0.0065
106,0.0051,0.005,0.0053,0.0067
107,0.0065,0.0066,0.0067,0.0068
108,0.006,0.006,0.0071,0.0083
109,0.0062,0.0062,0.0065,0.0073
110,0.0052,0.0048,0.0058,0.0071
111,0.0058,0.0057,0.0064,0.0075
112,0.0062,0.0064,0.0048,0.0056
113,0.0059,0.0059,0.0063,0.0067
114,0.0053,0.0053,0.0058,0.0069
115,0.0058,0.0058,0.006,0.0063
116,0.0055,0.0054,0.0057,0.0063
117,0.0062,0.0062,0.0061,0.0064
118,0.0054,0.0053,0.0063,0.0072
119,0.0052,0.0051,0.0057,0.0073
120,0.0054,0.0054,0.0064,0.0071
121,0.0058,0.0057,0.0063,0.0072
122,0.0054,0.0055,0.007,0.0083
123,0.0054,0.0052,0.0058,0.0063
124,0.005,0.0048,0.005,0.0063
125,0.0052,0.0052,0.0057,0.0061
126,0.0054,0.0054,0.0061,0.0069
127,0.0053,0.0053,0.0061,0.0071
128,0.0053,0.0053,0.006,0.0069
129,0.0061,0.0062,0.0068,0.0078
131,0.0054,0.0054,0.0062,0.007
132,0.0053,0.0052,0.0058,0.0068
134,0.0053,0.0052,0.0062,0.0053
135,0.0055,0.0054,0.0056,0.007
136,0.0057,0.0058,0.0068,0.0073
137,0.0052,0.0051,0.0063,0.0075
138,0.0057,0.0056,0.0066,0.0062
139,0.0053,0.0051,0.006,0.0067
140,0.0058,0.0055,0.006,0.0073
141,0.005,0.0049,0.0056,0.0064
142,0.0068,0.0065,0.0059,0.0066
144,0.0054,0.0055,0.0067,0.0073
145,0.0057,0.0055,0.006,0.0066
146,0.0056,0.0056,0.0061,0.0073
148,0.005,0.0047,0.0052,0.0065
150,0.0055,0.0054,0.0061,0.0072
151,0.0056,0.0055,0.0067,0.0079
152,0.0059,0.0059,0.0065,0.0075
153,0.0058,0.0061,0.0067,0.0081
154,0.0062,0.006,0.0064,0.0066
156,0.0089,0.0085,0.0064,0.0056
157,0.0061,0.006,0.0063,0.0064
160,0.0051,0.0048,0.0051,0.0063
162,0.0053,0.0053,0.0058,0.0065
164,0.0063,0.0066,0.0074,0.006
165,0.0059,0.006,0.0068,0.0052
166,0.0056,0.0055,0.006,0.0066
167,0.0093,0.0087,0.0062,0.0062
168,0.0065,0.0064,0.006,0.0061
169,0.0058,0.006,0.0068,0.0073
171,0.0068,0.0063,0.0044,0.0041
172,0.0062,0.0061,0.0061,0.0063
173,0.006,0.006,0.0071,0.0089
174,0.0058,0.0059,0.0063,0.0069
175,0.0052,0.0049,0.005,0.0061
177,0.0066,0.0066,0.0074,0.0086
178,0.006,0.006,0.0063,0.0074
184,0.0081,0.0078,0.007,0.006
185,0.0053,0.0052,0.0053,0.0065
186,0.0077,0.0072,0.0045,0.0043
187,0.0063,0.0063,0.0067,0.006
188,0.0062,0.0064,0.0065,0.0043
189,0.0055,0.0054,0.0063,0.0079
192,0.0057,0.0057,0.0059,0.0062
193,0.0051,0.0049,0.0053,0.0064
194,0.0053,0.0052,0.0056,0.0064
195,0.0059,0.0059,0.0075,0.0088
196,0.0057,0.0057,0.0056,0.0061
197,0.006,0.0061,0.007,0.0075
198,0.0059,0.006,0.0068,0.0078
199,0.0058,0.0058,0.0065,0.0067
200,0.0055,0.0054,0.0062,0.0061
201,0.0056,0.0054,0.0055,0.0069
202,0.0064,0.0065,0.0034,0.0052
204,0.0063,0.0063,0.0066,0.0071
205,0.0061,0.0062,0.007,0.007
206,0.0058,0.0059,0.0066,0.0071
207,0.0055,0.0054,0.0063,0.0068
208,0.0063,0.0065,0.0069,0.0078
210,0.0056,0.0057,0.0069,0.0079
211,0.0055,0.0055,0.0062,0.0067
213,0.0056,0.0056,0.0062,0.0068
215,0.0059,0.0058,0.006,0.0066
216,0.0059,0.0062,0.0067,0.0078
217,0.0052,0.0051,0.0053,0.0064
219,0.006,0.0059,0.0064,0.0075
221,0.0058,0.006,0.0068,0.0069
222,0.0063,0.0063,0.0066,0.0074
223,0.0058,0.0058,0.0074,0.0073
225,0.0052,0.0049,0.0058,0.007
226,0.0059,0.0059,0.0067,0.0077
227,0.0061,0.0063,0.0066,0.0043
229,0.0056,0.0054,0.006,0.0079
230,0.0054,0.0053,0.0058,0.0069
232,0.0053,0.0053,0.0068,0.0084
233,0.0056,0.0056,0.0062,0.0072
235,0.0055,0.0055,0.0068,0.008
236,0.0061,0.006,0.0061,0.0064
237,0.0057,0.0054,0.0054,0.0061
238,0.0063,0.0063,0.0062,0.0061
239,0.0055,0.0056,0.0063,0.0065
241,0.0052,0.0051,0.0059,0.0068
243,0.0054,0.0053,0.0059,0.0067
244,0.0054,0.0053,0.0058,0.0062
245,0.0059,0.0062,0.0067,0.007
248,0.0054,0.0054,0.0054,0.0065
249,0.0056,0.0055,0.006,0.0072
250,0.0055,0.0055,0.0062,0.0069
251,0.005,0.0049,0.0052,0.0063
252,0.0052,0.0049,0.0062,0.0065
253,0.0055,0.0054,0.0061,0.007
259,0.0056,0.0054,0.0057,0.0069
260,0.0054,0.0053,0.0058,0.0062
261,0.0057,0.0057,0.0061,0.0059
264,0.0053,0.0051,0.0053,0.0061
265,0.0054,0.0053,0.006,0.0068
268,0.0056,0.0055,0.0061,0.0052
269,0.007,0.0067,0.0058,0.0064
273,0.0053,0.0051,0.0061,0.0065
274,0.0058,0.0058,0.0063,0.0065
275,0.0052,0.005,0.0055,0.0072
277,0.0062,0.0062,0.0069,0.0066
278,0.0054,0.0052,0.0055,0.0067
280,0.0059,0.0059,0.0069,0.0076
